Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md
3833,1442,4,47.5907075,-122.2998501,46.0,54.0,"Clay (older marine); gray, trace fine sand, trace fine gravel, slickensides, fractures, slightly moist, hard",CH,Clay,5.872944016821993,blue,51,46.0
3834,1442,1,47.59070756,-122.29878,0.0,5.0,"Silty sand (fill); brown, fine to medium, trace coarse sand, some silt, few to little gravel, very moist, loose",SM,Silty sand,5.792977132947034,blue,50,0.0
3834,1442,2,47.59070756,-122.29878,5.0,26.0,"Clayey silt (lacustrine); mottled gray and brown, little fine sand, occasional silt partings, moist, hard",CL,Sandy silt,5.792977132947034,blue,50,5.0
3834,1442,3,47.59070756,-122.29878,26.0,28.79999924,"Silty sand (glacial till); olive-gray, fine to medium trace coarse sand, some silt, little gravel, moist, very dense",SM,Silty sand,5.792977132947034,blue,50,26.0
3835,1449,1,47.56597586,-122.3235877,0.0,4.0,"Black, fine to medium sand with silt lense and brick fragments (medium dense, moist) (fill)",SP-SM,Silty sand,8.350399961067954,blue,5,0.0
3835,1449,2,47.56597586,-122.3235877,4.0,19.0,"Black, fine to medium sand with silt lense (medium dense, moist) - (moist to wet)",SP-SM,Silty sand,8.350399961067954,blue,5,4.0
3835,1449,3,47.56597586,-122.3235877,19.0,40.0,"Black fine to medium sand with silt interbedded with dark gray, fine sandy silt and wood fragments (medium dense to dense and meidum stiff, moist)",SP-SM,Silty sand,8.350399961067954,blue,5,19.0
3835,1449,4,47.56597586,-122.3235877,40.0,45.0,"Dark gray to black silty fine to medium sand (loose to medium dense, wet)",SM,Silty sand,8.350399961067954,blue,5,40.0
3835,1449,5,47.56597586,-122.3235877,45.0,45.5,"Dark gray to black clay silt (medium stiff, wet)",ML,Clayey silt,8.350399961067954,blue,5,45.0
3836,1449,1,47.5661117,-122.3238435,0.0,3.5,"Brown silty sand with trace gravel (loose, moist) (fill)",SM,Silty sand,8.361820225661885,blue,5,0.0
3836,1449,2,47.5661117,-122.3238435,3.5,4.5,"Dark gray to black sity fine to medium sand with trace gravel (medium dense, moist)",SM,Silty sand,8.361820225661885,blue,5,3.5
3836,1449,3,47.5661117,-122.3238435,4.5,22.5,"Dark gray to black fine to medium sand with trace silt (meidum dense to dense, moist)",SP-SM,Sand,8.361820225661885,blue,5,4.5
3836,1449,4,47.5661117,-122.3238435,22.5,25.5,"Dark gray to black silty fine to medium sand (dense, wet)",SM,Silty sand,8.361820225661885,blue,5,22.5
3837,1449,1,47.56611681,-122.3240422,0.0,3.5,"Brown silty sand with trace gravel (loose, moist) (fill)",SM,Silty sand,8.375253037460906,blue,5,0.0
3837,1449,2,47.56611681,-122.3240422,3.5,6.0,"Dark gray to black fine to medium sand with silt and trace gravel (loose, moist)",SP-SM,Silty sand,8.375253037460906,blue,5,3.5
