Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md,Scaled_Latitude,Scaled_Longitude
79,575,5,47.54022712,-122.3890226,19.0,37.0,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",SW,Sand,14.028457749922987,blue,63,19.0,-89.77510522022669,50.082022838466855
79,575,6,47.54022712,-122.3890226,37.0,39.5,"Sand; gray, fine to coarse, trace fine gravel, thinly bedded with fine to medium sand, dense, wet.",SW,Sand,14.028457749922987,blue,63,37.0,-89.77510522022669,50.082022838466855
80,575,1,47.5400681,-122.389021,0.0,0.100000001,Asphalt.,Not applicable,Asphalt / concrete,14.036280119862434,blue,62,0.0,-91.36530522020792,50.098022838511724
80,575,2,47.5400681,-122.389021,0.100000001,6.0,"Sand; brown, fine to coarse, little silt and gravel, loose, slightly moist.",SW,Fill,14.036280119862434,blue,62,0.100000001,-91.36530522020792,50.098022838511724
80,575,3,47.5400681,-122.389021,6.0,8.0,"Sand with silt; brown mottled gray, fine to coarse, trace gravel, medium dense, moist.",SM,Sand,14.036280119862434,blue,62,6.0,-91.36530522020792,50.098022838511724
80,575,4,47.5400681,-122.389021,8.0,11.0,"Silty sand with gravel; gray brown, fine to coarse sand, fine gravel, dense, moist.",SM,Silty sand,14.036280119862434,blue,62,8.0,-91.36530522020792,50.098022838511724
80,575,5,47.5400681,-122.389021,11.0,17.0,"Sand; gray, fine to coarse, trace silt and gravel, thinly bedded with silty sand, dense, wet.",SW,Sand,14.036280119862434,blue,62,11.0,-91.36530522020792,50.098022838511724
80,575,6,47.5400681,-122.389021,17.0,19.0,"Sand; gray, fine to coarse, trace gravel and silt, very dense, wet.",SW,Sand,14.036280119862434,blue,62,17.0,-91.36530522020792,50.098022838511724
80,575,7,47.5400681,-122.389021,19.0,21.0,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",SP,Sand,14.036280119862434,blue,62,19.0,-91.36530522020792,50.098022838511724
80,575,8,47.5400681,-122.389021,21.0,25.0,"Sand with silt and gravel, gray, fine to coarse sand, fine gravel, very dense, moist.",SW,Sand,14.036280119862434,blue,62,21.0,-91.36530522020792,50.098022838511724
80,575,9,47.5400681,-122.389021,25.0,29.5,"Sand; gray brown, fine to coarse, trace and gravel, very dense, moist.",SW,Sand,14.036280119862434,blue,62,25.0,-91.36530522020792,50.098022838511724
81,575,1,47.54009951,-122.3880988,0.0,0.100000001,Asphalt.,Not applicable,Asphalt / concrete,13.972704239763043,blue,63,0.0,-91.05120522022503,59.320022838562636
